PROFICIENCIA_LP_SAEB,PROFICIENCIA_MT_SAEB,ERRO_PADRAO_LP_SAEB,ERRO_PADRAO_MT_SAEB,INSE_ALUNO,ID_SERIE,ID_REGIAO,ID_UF,ID_MUNICIPIO,ID_AREA,IN_PUBLICA,ID_LOCALIZACAO,TX_RESP_Q01,TX_RESP_Q02,TX_RESP_Q04,TX_RESP_Q12b,TX_RESP_Q13b,TX_RESP_Q12f
245.944939,217.08298,21.834602,35.364417,3.66,12,5,52,6327540,2,1,1,B,E,C,B,B,*
,,,,,12,3,35,6325622,2,1,1,.,.,.,.,.,.
279.845097,209.093452,17.926113,41.485633,3.8,12,1,15,6322374,2,1,2,A,C,C,A,B,A
314.953783,279.294551,19.870193,40.1597,5.44,12,3,35,6325526,2,1,1,B,B,A,B,B,B
320.549065,320.605856,20.135743,23.346784,5.98,13,2,29,6324127,2,1,1,A,C,C,D,B,B
266.563244,283.874648,21.434514,24.667296,4.3,12,3,35,6325649,2,1,1,A,B,C,A,B,B
275.508863,309.129037,20.38212,20.60711,6.13,12,3,35,6325896,2,1,1,A,C,C,A,B,B
282.369364,268.444732,21.552524,27.794584,6.76,12,4,41,6326175,1,1,1,B,B,B,D,B,C
211.641497,304.776701,29.473296,24.569149,4.63,12,5,52,6327587,2,1,1,B,C,C,B,B,B
342.147867,317.279368,20.973327,21.633852,5.19,13,3,35,6325623,2,1,1,A,C,A,C,A,A
,,,,,12,3,35,6326006,2,1,1,.,.,.,.,.,.
,,,,,12,3,35,6326021,2,1,1,.,.,.,.,.,.
294.196532,196.088033,18.428344,40.149583,4.36,12,4,43,6326963,2,1,1,A,B,C,A,B,B
324.994328,280.005725,18.949142,28.579927,4.25,12,2,25,6323584,2,1,1,B,B,A,A,B,B
329.973115,357.116457,22.203452,19.797174,3.37,12,2,23,6323176,2,1,2,A,F,E,A,A,A
259.675417,271.545694,20.286533,33.229722,5.91,12,2,26,6323788,2,1,1,A,B,C,B,B,D
275.848404,272.118647,22.150231,32.862844,5.66,12,3,35,6325605,2,1,1,B,B,C,B,B,C
,,,,,12,3,31,6324844,2,1,1,.,.,.,.,.,.
291.082159,257.145036,19.184115,33.933853,3.35,12,2,29,6324072,2,1,2,A,C,C,A,B,A
276.066408,236.893066,20.341406,32.286315,4.41,12,3,35,6325721,2,1,1,B,B,A,A,B,A
,,,,,12,3,31,6325217,2,1,1,.,.,.,.,.,.
202.693619,211.820215,30.114087,34.154125,3.62,13,2,27,6323878,2,1,1,B,C,B,A,B,A
352.58872,260.30217,23.428563,32.424593,4.8,12,2,23,6323175,2,1,1,A,E,B,C,B,A
,,,,,12,2,26,6323756,2,1,1,.,.,.,.,.,.
,,,,,13,3,35,6325999,1,1,1,.,.,.,.,.,.
249.538293,232.936783,23.406801,32.30666,6.33,12,4,42,6326555,2,1,1,A,D,B,A,B,C
336.370336,280.315871,20.666677,29.039306,5.61,13,2,23,6323171,2,1,1,A,C,C,A,B,B
359.060703,375.944906,22.393248,13.14895,7.12,13,4,41,6326200,2,1,1,A,C,A,D,B,C
165.231013,242.876731,33.397652,37.821835,3.83,12,2,23,6323127,2,1,1,A,E,A,A,B,B
315.736494,226.102102,18.956359,42.134264,,12,1,14,6322308,1,1,1,A,C,A,.,.,.
260.340944,187.001394,20.769592,39.320364,5.17,12,2,21,6322805,1,1,1,B,C,C,B,B,.
280.061283,219.624908,18.932338,38.516968,3.61,12,2,29,6324312,2,1,1,B,B,B,A,B,A
282.611169,308.598731,18.470601,25.186257,5.96,12,3,31,6324479,1,1,1,B,C,C,C,B,B
305.263797,246.713571,18.734167,27.747914,4.34,12,1,13,6322281,1,1,1,A,C,A,C,B,A
192.496829,239.753635,30.748432,42.530373,4.93,12,4,41,6326272,2,1,1,A,F,A,A,B,B
192.121919,197.084258,30.031723,40.836164,2.69,12,2,23,6323119,1,1,1,B,F,C,*,A,.
,,,,,12,3,31,6325027,2,1,1,.,.,.,.,.,.
172.437391,205.951297,32.189399,41.636766,5.25,12,3,31,6325111,2,1,1,A,C,C,D,B,A
283.630892,284.477838,18.291713,31.571955,6.7,12,4,42,6326593,2,1,1,A,C,A,D,B,C
273.508313,224.976486,17.87102,39.718038,4.85,12,3,32,6325340,2,1,1,B,B,C,B,B,A
328.123576,221.757591,18.949142,40.916426,6.48,12,5,50,6327291,1,1,1,B,.,A,B,B,C
243.731948,232.103205,28.189676,29.645961,3.84,12,2,29,6324197,2,1,2,A,C,C,A,B,A
,,,,,12,3,35,6325870,2,1,1,.,.,.,.,.,.
167.750488,304.263889,34.080038,31.469281,5.09,13,2,24,6323333,1,1,1,A,C,D,B,B,A
305.756828,303.792829,18.080595,23.104379,4.42,12,3,32,6325343,2,1,1,B,C,A,A,B,A
175.681839,295.00309,33.451863,31.724932,4.38,12,3,35,6325901,2,1,1,A,B,C,B,B,B
243.256603,209.293714,21.119655,36.77268,4.36,12,3,33,6325412,1,1,1,B,E,B,A,B,.
226.841095,275.42792,24.721273,35.22804,5.54,12,2,21,6322630,2,1,1,A,C,C,C,B,B
244.773378,210.544249,23.202515,38.145172,4.45,12,2,21,6322805,1,1,1,B,C,C,B,B,A
238.714596,219.017805,25.931179,32.131381,4,12,5,51,6327478,2,1,1,A,C,C,A,A,A
,,,,,12,3,35,6325999,1,1,1,.,.,.,.,.,.
315.002541,296.743521,19.513628,29.787537,4.35,13,3,35,6325955,2,1,1,B,C,A,B,B,A
